id,year,title,runtime,rt_score,imdb_score,metacritic_score,budget,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,overview,url_poster,studio_id
11,1998,Mulan,88,86.0,7.6,71.0,70.0,304.3,120.6,183.7,0,1,A young Chinese maiden disguises herself as a male soldier to save her father and her country.,https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1
12,1999,Tarzan,88,89.0,7.3,79.0,130.0,448.2,171.1,277.1,1,1,An orphaned boy raised by gorillas learns about his heritage and faces danger in the jungle.,https://m.media-amazon.com/images/M/MV5BY2ZiYWUxN2ItYmQxZi00NDlkLWE2NDAtOTNmYTg1MDI0NDk1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1
13,2000,The Emperor's New Groove,78,85.0,7.4,70.0,100.0,169.3,89.3,80.0,0,1,An arrogant young emperor is transformed into a llama and must find his way back to his throne.,https://m.media-amazon.com/images/M/MV5BMjFkMzk2OWUtNjFmZC00ZTJhLTlkNGYtYjc2YWNkNmJmNzczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1
14,2002,Lilo & Stitch,85,86.0,7.3,73.0,80.0,273.1,145.8,127.3,0,1,A young Hawaiian girl forms an unlikely friendship with an alien creature trying to avoid capture.,https://m.media-amazon.com/images/M/MV5BYTY5MGE4MjEtNTMzYy00ODAxLWFiNDQtNzhlOGJiZWIzNDhkXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,1
15,2003,Finding Nemo,100,99.0,8.2,90.0,94.0,895.6,339.7,555.9,1,4,A clownfish goes on an adventure to find his son who was captured by divers.,https://m.media-amazon.com/images/M/MV5BZmYxZjg3OWEtNzg5Yi00M2YzLWI1YzYtYTQ0NTgwNzhjN2E1XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,1
16,2005,Chicken Little,81,36.0,5.7,36.0,150.0,314.4,135.4,179.0,0,0,A young chicken who caused alarm in his town must save it from a real alien invasion.,https://m.media-amazon.com/images/M/MV5BMTM3MTIzMDQxMV5BMl5BanBnXkFtZTYwNTE0Mjg3._V1_SX300.jpg,1
17,2008,Bolt,96,89.0,6.8,67.0,150.0,310.0,114.1,195.9,0,1,A dog who thinks he's a superhero goes on an adventure to find his owner.,https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg,1
18,2010,Tangled,100,89.0,7.7,71.0,260.0,592.5,200.8,391.7,0,1,A young woman with magical hair escapes her tower and goes on an adventure with a charming thief.,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,1
19,2011,Winnie the Pooh,63,91.0,7.2,74.0,7.5,44.6,26.7,17.9,0,0,Winnie the Pooh and his friends embark on adventures in the Hundred Acre Wood.,https://m.media-amazon.com/images/M/MV5BMjI2MTMxMDYwMl5BMl5BanBnXkFtZTcwMDM0NTQ4NA@@._V1_SX300.jpg,1
20,2013,Frozen,102,90.0,7.4,74.0,68.9,1397.05,290.0,380.6,2,2,Two sisters with different powers must save their kingdom from an eternal winter.,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,1
21,2014,Big Hero 6,102,89.0,7.8,74.0,165.0,657.8,222.5,435.3,1,1,A young boy and his robot friend form a superhero team to uncover a criminal plot.,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,1
22,2016,Zootopia,108,98.0,8.0,78.0,66.7,1023.78,1023.8,435.2,1,1,A rookie rabbit police officer and a cynical fox con artist solve a mystery in a mammal metropolis.,https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,1
23,2016,Moana,107,95.0,7.6,81.0,150.0,682.6,248.8,433.8,0,2,A young girl sets out on a journey to save her people and find her true self.,https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,1
24,2019,Frozen II,103,77.0,6.8,64.0,67.1,1450.03,453.0,997.03,0,1,Two sisters embark on a journey to uncover the truth about their past and the origins of their kingdom.,https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,1
25,2019,The Lion King,118,52.0,6.8,55.0,32.7,1663.08,663.3,999.78,0,1,A young lion prince embarks on a journey of self-discovery after the loss of his father.,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,1
26,2021,Raya and the Last Dragon,107,94.0,7.3,75.0,100.0,130.4,54.7,75.7,0,1,A young warrior sets out to find the last dragon to save her world.,https://m.media-amazon.com/images/M/MV5BZWNiOTc4NGItNGY4YS00ZGNkLThkOWEtMDE2ODcxODEwNjkwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,1
27,2020,Encanto,99,91.0,7.2,75.0,120.0,256.8,96.2,160.6,1,3,A young girl in a magical family discovers her unique gift and the secrets of her family.,https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,1
28,2021,Luca,95,91.0,7.5,71.0,120.0,51.07,49.8,49.75,0,1,Two young sea creatures experience an unforgettable summer of adventure on land.,https://m.media-amazon.com/images/M/MV5BZTQyNTU0MDktYTFkYi00ZjNhLWE2ODctMzBkM2U1ZTk3YTMzXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,1
29,2022,Turning Red,100,94.0,7.0,83.0,175.0,21.81,1.39,20.41,0,1,A teenager discovers she can transform into a giant red panda when she gets excited.,https://m.media-amazon.com/images/M/MV5BOWYxZDMxYWUtNjNiZC00MDE1LWI2Y2QtNWZhNDAyMGY5ZjVhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,1
30,1995,Toy Story,81,100.0,8.3,92.0,30.0,362.0,191.8,170.2,0,3,"The adventures of a group of toys, including a cowboy and a spaceman, come to life when their owner is away.",https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg,2
31,1998,A Bug's Life,96,92.0,7.2,77.0,45.0,363.4,162.8,200.6,0,1,An ant recruits a group of circus bugs to help defend his colony from greedy grasshoppers.,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2
32,1999,Toy Story 2,92,100.0,7.9,88.0,90.0,485.0,245.9,239.2,0,1,Buzz Lightyear and Woody rescue a kidnapped toy from a greedy collector.,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,2
33,2001,"Monsters, Inc.",90,96.0,8.1,78.0,115.0,528.8,255.9,272.9,1,3,"Monsters work in a factory that scares children to generate energy, but things go wrong when a child enters their world.",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,2
34,2003,Finding Nemo,104,99.0,8.2,90.0,94.0,895.6,339.7,555.9,1,4,"A clownfish father embarks on an adventure to find his son, who was captured by divers.",https://m.media-amazon.com/images/M/MV5BZmYxZjg3OWEtNzg5Yi00M2YzLWI1YzYtYTQ0NTgwNzhjN2E1XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,2
35,2004,The Incredibles,115,97.0,8.0,90.0,92.0,631.4,261.4,370.0,2,4,A family of superheroes must battle a villain while dealing with their everyday lives.,https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg,2
36,2006,Cars,116,74.0,7.2,73.0,70.0,462.0,244.1,217.9,0,2,A race car gets lost in a small town and learns important life lessons.,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,2
37,2007,Ratatouille,111,96.0,8.0,96.0,150.0,623.7,206.4,417.3,1,5,A rat who loves to cook teams up with a young chef to create culinary masterpieces in Paris.,https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg,2
38,2008,WALL-E,97,96.0,8.4,94.0,180.0,521.3,223.8,297.5,1,6,A trash-compacting robot embarks on a journey through space with a new friend to save humanity.,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,2
39,2008,Kung Fu Panda,92,7.5,74.0,60.2,130.0,215.4,434.0,416.3,0,1,A clumsy panda becomes an unlikely kung fu master to protect his valley from threats.,https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,3
40,2009,Up,96,98.0,8.3,88.0,175.0,731.3,293.0,438.3,2,5,An elderly man and a young boy embark on an adventure to fulfill a lifelong dream.,https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2
41,2010,Toy Story 3,103,99.0,8.4,92.0,200.0,1063.2,415.0,648.2,2,5,Woody and his friends face new challenges and adventures when they're donated to a daycare center.,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,2
42,2011,Kung Fu Panda 2,91,7.2,67.0,47.7,130.0,165.3,500.44,0.0,1,2,Po and his friends must stop a villain who plans to conquer China with a secret weapon.,https://m.media-amazon.com/images/M/MV5BYzQ0ZWIxZjAtYWI3Yy00MGM0LWFjOGYtNzcyYThiOTA3ODI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,3
43,2011,Cars 2,113,39.0,6.3,57.0,200.0,559.9,191.5,368.4,0,0,Lightning McQueen and Mater embark on a journey around the world to compete in a prestigious race.,https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,2
44,2012,Brave,100,78.0,7.2,69.0,185.0,539.0,237.3,301.7,1,1,A young Scottish princess must undo a spell that has turned her mother into a bear.,https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,2
45,2013,Monsters University,107,78.0,7.4,65.0,200.0,743.6,268.5,475.1,0,0,Mike and Sulley attend Monsters University and learn to become top scarers.,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,2
46,2015,The Good Dinosaur,100,76.0,6.7,66.0,175.0,332.2,123.1,209.1,0,1,A young dinosaur must find his way home after being separated from his family.,https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,2
47,2015,Inside Out,102,98.0,8.8,93.0,175.0,677.1,340.5,336.6,1,1,"A young girl navigates her emotions with the help of personifications of Joy, Sadness, Fear, Anger, and Disgust.",https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,2
48,2016,Kung Fu Panda 3,95,7.1,66.0,41.3,145.0,143.5,75.7,0.0,0,2,Po faces new challenges as he meets his long-lost father and takes on new enemies.,https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,3
49,2016,Finding Dory,97,100.0,8.4,94.0,200.0,1028.0,486.3,542.28,0,0,"Dory, the forgetful fish, embarks on a journey to find her long-lost parents.",https://m.media-amazon.com/images/M/MV5BYWVmYTcwZDYtYzNmNC00M2U2LWFjZWYtOWRlY2NiNjc5ZjdiXkEyXkFqcGdeQXVyNjY5Mjg5MjA@._V1_SX300.jpg,2
50,2017,Coco,100,8.4,81.0,49.0,175.0,807.5,209.7,597.8,2,2,A young boy discovers the history of his family and his love for music in the Land of the Dead.,https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg,2
51,2018,The Incredibles 2,102,97.0,8.0,84.0,200.0,1243.0,608.6,634.2,0,1,The Incredibles face new challenges as they work to restore their reputation and stop a new villain.,,2
52,2019,Toy Story 4,98,7.7,84.0,121.0,200.0,434.0,639.4,1.0,2,2,"Woody, Buzz, and the rest of the toys go on a road trip with a new friend, Forky.",https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_SX300.jpg,2
53,2020,Onward,88,7.4,61.0,39.1,200.0,61.6,61.6,80.4,0,1,Two elf brothers go on a quest to discover if there is still magic in the world.,https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,2
54,2020,Soul,95,8.1,83.0,12.7,150.0,54.7,54.7,121.03,2,3,A middle school music teacher discovers the meaning of life after a near-death experience.,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_SX300.jpg,2
55,2022,Lightyear,100,77.0,6.1,60.0,200.0,226.4,118.3,226.43,0,1,"The story of Buzz Lightyear, the hero who inspired the toy, on his journey through space and time."," ""https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg""",2
56,2024,Kung Fu Panda 4,94,72.0,6.3,54.0,85.0,520.78,188.62,332.16,0,0,Po must face new challenges as he becomes a kung fu master and protects his home.," ""https://m.media-amazon.com/images/M/MV5BZDY0YzI0OTctYjVhYy00MTVhLWE0NTgtYTRmYTBmOTE3YTViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg""",3
