id,year,title,runtime,rt_score,imdb_score,metacritic_score,budget,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,overview,url_poster,studio_id
29,2022,Turning Red,100.0,94.0,7.0,83.0,175.0,20.12,1.39,20.41,0,1,A teenager discovers she can transform into a giant red panda when she gets excited.,https://m.media-amazon.com/images/M/MV5BOWYxZDMxYWUtNjNiZC00MDE1LWI2Y2QtNWZhNDAyMGY5ZjVhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,1.0
30,1995,Toy Story,81.0,100.0,8.3,92.0,30.0,394.44,191.8,170.2,0,3,"The adventures of a group of toys, including a cowboy and a spaceman, come to life when their owner is away.",https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg,2.0
31,1998,A Bug's Life,96.0,92.0,7.2,77.0,120.0,363.26,162.8,200.6,0,1,An ant recruits a group of circus bugs to help defend his colony from greedy grasshoppers.,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,2.0
32,1999,Toy Story 2,92.0,100.0,7.9,88.0,90.0,497.38,245.9,239.2,0,1,Buzz Lightyear and Woody rescue a kidnapped toy from a greedy collector.,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,2.0
33,2001,"Monsters, Inc.",90.0,96.0,8.1,78.0,115.0,579.71,255.9,272.9,1,4,"Monsters work in a factory that scares children to generate energy, but things go wrong when a child enters their world.",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,2.0
35,2004,The Incredibles,115.0,97.0,8.0,90.0,92.0,631.68,261.4,370.0,2,4,A family of superheroes must battle a villain while dealing with their everyday lives.,https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg,2.0
36,2006,Cars,116.0,74.0,7.2,73.0,120.0,461.99,244.1,217.9,0,2,A race car gets lost in a small town and learns important life lessons.,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,2.0
37,2007,Ratatouille,111.0,96.0,8.0,96.0,150.0,623.73,206.4,417.3,1,5,A rat who loves to cook teams up with a young chef to create culinary masterpieces in Paris.,https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg,2.0
38,2008,WALL-E,97.0,96.0,8.4,94.0,180.0,521.3,223.8,297.5,1,6,A trash-compacting robot embarks on a journey through space with a new friend to save humanity.,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,2.0
39,2008,Kung Fu Panda,92.0,7.5,74.0,60.2,130.0,632.08,434.0,416.3,0,1,A clumsy panda becomes an unlikely kung fu master to protect his valley from threats.,https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,3.0
40,2009,Up,96.0,98.0,8.3,88.0,175.0,735.1,293.0,438.3,2,5,An elderly man and a young boy embark on an adventure to fulfill a lifelong dream.,https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,2.0
41,2010,Toy Story 3,103.0,99.0,8.4,92.0,200.0,1067.32,415.0,648.2,2,5,Woody and his friends face new challenges and adventures when they're donated to a daycare center.,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,2.0
42,2011,Kung Fu Panda 2,91.0,7.2,67.0,47.7,150.0,665.69,500.44,0.0,0,1,Po and his friends must stop a villain who plans to conquer China with a secret weapon.,https://m.media-amazon.com/images/M/MV5BYzQ0ZWIxZjAtYWI3Yy00MGM0LWFjOGYtNzcyYThiOTA3ODI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,3.0
43,2011,Cars 2,113.0,39.0,6.3,57.0,200.0,559.85,191.5,368.4,0,0,Lightning McQueen and Mater embark on a journey around the world to compete in a prestigious race.,https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,2.0
44,2012,Brave,100.0,78.0,7.2,69.0,185.0,538.98,237.3,301.7,1,1,A young Scottish princess must undo a spell that has turned her mother into a bear.,https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,2.0
45,2013,Monsters University,107.0,78.0,7.4,65.0,200.0,743.56,268.5,475.1,0,0,Mike and Sulley attend Monsters University and learn to become top scarers.,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,2.0
46,2015,The Good Dinosaur,100.0,76.0,6.7,66.0,200.0,332.21,123.1,209.1,0,0,A young dinosaur must find his way home after being separated from his family.,https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,2.0
47,2015,Inside Out,102.0,98.0,8.8,93.0,175.0,858.85,340.5,336.6,1,2,"A young girl navigates her emotions with the help of personifications of Joy, Sadness, Fear, Anger, and Disgust.",https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,2.0
48,2016,Kung Fu Panda 3,95.0,7.1,66.0,41.3,145.0,521.17,75.7,0.0,0,0,Po faces new challenges as he meets his long-lost father and takes on new enemies.,https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,3.0
49,2016,Finding Dory,97.0,100.0,8.4,94.0,200.0,1029.27,486.3,542.28,0,0,"Dory, the forgetful fish, embarks on a journey to find her long-lost parents.",https://m.media-amazon.com/images/M/MV5BYWVmYTcwZDYtYzNmNC00M2U2LWFjZWYtOWRlY2NiNjc5ZjdiXkEyXkFqcGdeQXVyNjY5Mjg5MjA@._V1_SX300.jpg,2.0
50,2017,Coco,100.0,8.4,81.0,49.0,175.0,814.34,209.7,597.8,2,2,A young boy discovers the history of his family and his love for music in the Land of the Dead.,https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg,2.0
51,2018,The Incredibles 2,102.0,97.0,8.0,84.0,200.0,1243.0,608.6,634.2,0,0,The Incredibles face new challenges as they work to restore their reputation and stop a new villain.,,2.0
52,2019,Toy Story 4,98.0,7.7,84.0,121.0,200.0,1073.84,639.4,1.0,1,2,"Woody, Buzz, and the rest of the toys go on a road trip with a new friend, Forky.",https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_SX300.jpg,2.0
53,2020,Onward,88.0,7.4,61.0,39.1,175.0,141.94,61.6,80.4,0,1,Two elf brothers go on a quest to discover if there is still magic in the world.,https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,2.0
54,2020,Soul,95.0,8.1,83.0,12.7,150.0,54.7,54.7,121.03,2,3,A middle school music teacher discovers the meaning of life after a near-death experience.,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_SX300.jpg,2.0
55,2022,Lightyear,100.0,77.0,6.1,60.0,200.0,226.43,118.3,226.43,0,0,"The story of Buzz Lightyear, the hero who inspired the toy, on his journey through space and time."," ""https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg""",2.0
56,2024,Kung Fu Panda 4,94.0,72.0,6.3,54.0,85.0,520.78,188.62,332.16,0,0,Po must face new challenges as he becomes a kung fu master and protects his home.," ""https://m.media-amazon.com/images/M/MV5BZDY0YzI0OTctYjVhYy00MTVhLWE0NTgtYTRmYTBmOTE3YTViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg""",3.0
57,1994,The Shawshank Redemption,142.0,,9.3,80.0,25.0,28.88,,,0,7,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
58,1972,The Godfather,175.0,,9.2,100.0,6.0,250.34,,,3,11,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",-1.0
59,2008,The Dark Knight,152.0,,9.0,84.0,185.0,1007.34,,,2,8,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
60,1974,The Godfather: Part II,202.0,,9.0,90.0,,57.3,,,0,0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",-1.0
61,1957,12 Angry Men,96.0,,9.0,96.0,,4.36,,,0,3,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
62,2003,The Lord of the Rings: The Return of the King,201.0,,8.9,94.0,94.0,1155.6,,,11,11,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
63,1994,Pulp Fiction,154.0,,8.9,94.0,8.0,213.93,,,1,7,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",-1.0
64,1993,Schindler's List,195.0,,8.9,94.0,22.0,322.16,,,7,12,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
65,2010,Inception,148.0,,8.8,74.0,160.0,839.03,,,4,8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
66,1999,Fight Club,139.0,,8.8,66.0,63.0,101.21,,,0,1,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
67,2001,The Lord of the Rings: The Fellowship of the Ring,178.0,,8.8,92.0,93.0,898.52,,,4,13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
68,1994,Forrest Gump,142.0,,8.8,82.0,55.0,678.23,,,6,13,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",-1.0
69,1966,"Il buono, il brutto, il cattivo",161.0,,8.8,90.0,,6.1,,,0,0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
70,2002,The Lord of the Rings: The Two Towers,179.0,,8.7,87.0,94.0,948.73,,,2,6,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
71,1999,The Matrix,136.0,,8.7,73.0,63.0,467.22,,,4,4,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
72,1990,Goodfellas,146.0,,8.7,90.0,25.0,47.04,,,0,0,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
73,1980,Star Wars: Episode V - The Empire Strikes Back,124.0,,8.7,82.0,18.0,538.38,,,0,0,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
74,1975,One Flew Over the Cuckoo's Nest,133.0,,8.7,83.0,3.0,109.11,,,0,0,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
75,2020,Hamilton,160.0,,8.6,90.0,,,,,0,0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",-1.0
