id,year,title,runtime,rt_score,imdb_score,metacritic_score,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,studio_id,overview,url_poster
19,2011,Winnie the Pooh,63,91.0,7.2,74.0,44.6,26.7,17.9,0.0,0.0,1,Winnie the Pooh and his friends embark on adventures in the Hundred Acre Wood.,https://m.media-amazon.com/images/M/MV5BMjI2MTMxMDYwMl5BMl5BanBnXkFtZTcwMDM0NTQ4NA@@._V1_SX300.jpg
20,2013,Frozen,102,90.0,7.4,74.0,1397.05,290.0,380.6,2.0,2.0,1,Two sisters with different powers must save their kingdom from an eternal winter.,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg
id,year,title,runtime,rt_score,imdb_score,metacritic_score,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,studio_id,overview,https://m.media-amazon.com/images/M/MV5BOGNmMDE4M2ItMDRiNy00ZTFlLTkzMDQtZDlkMmE1NTUzZGQ5XkEyXkFqcGdeQXVyNzE5NDY2NTg@._V1_SX300.jpg
21,2014,Big Hero 6,102,89.0,7.8,74.0,657.8,222.5,435.3,1.0,1.0,1,A young boy and his robot friend form a superhero team to uncover a criminal plot.,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg
22,2016,Zootopia,108,98.0,8.0,78.0,1023.78,1023.8,435.2,1.0,1.0,1,A rookie rabbit police officer and a cynical fox con artist solve a mystery in a mammal metropolis.,https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg
23,2016,Moana,107,95.0,7.6,81.0,682.6,248.8,433.8,0.0,2.0,1,A young girl sets out on a journey to save her people and find her true self.,https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg
24,2019,Frozen II,103,77.0,6.8,64.0,1450.03,453.0,997.03,0.0,1.0,1,Two sisters embark on a journey to uncover the truth about their past and the origins of their kingdom.,https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg
25,2019,The Lion King,118,52.0,6.8,55.0,1663.08,663.3,999.78,0.0,1.0,1,A young lion prince embarks on a journey of self-discovery after the loss of his father.,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg
26,2021,Raya and the Last Dragon,107,94.0,7.3,75.0,130.4,54.7,75.7,0.0,1.0,1,A young warrior sets out to find the last dragon to save her world.,https://m.media-amazon.com/images/M/MV5BZWNiOTc4NGItNGY4YS00ZGNkLThkOWEtMDE2ODcxODEwNjkwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
27,2020,Encanto,99,91.0,7.2,75.0,256.8,96.2,160.6,1.0,3.0,1,A young girl in a magical family discovers her unique gift and the secrets of her family.,https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
28,2021,Luca,95,91.0,7.5,71.0,51.07,49.8,49.75,0.0,1.0,1,Two young sea creatures experience an unforgettable summer of adventure on land.,https://m.media-amazon.com/images/M/MV5BZTQyNTU0MDktYTFkYi00ZjNhLWE2ODctMzBkM2U1ZTk3YTMzXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg
29,2022,Turning Red,100,94.0,7.0,83.0,21.81,1.39,20.41,0.0,1.0,1,A teenager discovers she can transform into a giant red panda when she gets excited.,https://m.media-amazon.com/images/M/MV5BOWYxZDMxYWUtNjNiZC00MDE1LWI2Y2QtNWZhNDAyMGY5ZjVhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
30,1995,Toy Story,81,100.0,8.3,92.0,362.0,191.8,170.2,0.0,3.0,2,"The adventures of a group of toys, including a cowboy and a spaceman, come to life when their owner is away.",https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg
31,1998,A Bug's Life,96,92.0,7.2,77.0,363.4,162.8,200.6,0.0,1.0,2,An ant recruits a group of circus bugs to help defend his colony from greedy grasshoppers.,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
32,1999,Toy Story 2,92,100.0,7.9,88.0,485.0,245.9,239.2,0.0,1.0,2,Buzz Lightyear and Woody rescue a kidnapped toy from a greedy collector.,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
33,2001,"Monsters, Inc.",90,96.0,8.1,78.0,528.8,255.9,272.9,1.0,3.0,2,"Monsters work in a factory that scares children to generate energy, but things go wrong when a child enters their world.",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg
34,2003,Finding Nemo,104,99.0,8.2,90.0,895.6,339.7,555.9,1.0,4.0,2,"A clownfish father embarks on an adventure to find his son, who was captured by divers.",https://m.media-amazon.com/images/M/MV5BZmYxZjg3OWEtNzg5Yi00M2YzLWI1YzYtYTQ0NTgwNzhjN2E1XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg
35,2004,The Incredibles,115,97.0,8.0,90.0,631.4,261.4,370.0,2.0,4.0,2,A family of superheroes must battle a villain while dealing with their everyday lives.,https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg
36,2006,Cars,116,74.0,7.2,73.0,462.0,244.1,217.9,0.0,2.0,2,A race car gets lost in a small town and learns important life lessons.,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg
37,2007,Ratatouille,111,96.0,8.0,96.0,623.7,206.4,417.3,1.0,5.0,2,A rat who loves to cook teams up with a young chef to create culinary masterpieces in Paris.,https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg
38,2008,WALL-E,97,96.0,8.4,94.0,521.3,223.8,297.5,1.0,6.0,2,A trash-compacting robot embarks on a journey through space with a new friend to save humanity.,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg
39,2008,Kung Fu Panda,92,7.5,74.0,60.2,215.4,434.0,416.3,0.0,1.0,2,A clumsy panda becomes an unlikely kung fu master to protect his valley from threats.,https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
40,2009,Up,96,98.0,8.3,88.0,731.3,293.0,438.3,2.0,5.0,2,An elderly man and a young boy embark on an adventure to fulfill a lifelong dream.,https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg
40,2009,Up,96,98.0,8.3,88.0,731.3,293.0,438.3,2.0,5.0,2,An elderly man and a young boy embark on an adventure to fulfill a lifelong dream.,https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg
41,2010,Toy Story 3,103,99.0,8.4,92.0,1063.2,415.0,648.2,2.0,5.0,2,Woody and his friends face new challenges and adventures when they're donated to a daycare center.,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg
42,2011,Kung Fu Panda 2,91,7.2,67.0,47.7,215.43,500.44,0.0,1.0,2,Po and his friends must stop a villain who plans to conquer China with a secret weapon.,,https://m.media-amazon.com/images/M/MV5BYzQ0ZWIxZjAtYWI3Yy00MGM0LWFjOGYtNzcyYThiOTA3ODI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
43,2011,Cars 2,113,39.0,6.3,57.0,559.9,191.5,368.4,0.0,0.0,2,Lightning McQueen and Mater embark on a journey around the world to compete in a prestigious race.,https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg
44,2012,Brave,100,78.0,7.2,69.0,539.0,237.3,301.7,1.0,1.0,2,A young Scottish princess must undo a spell that has turned her mother into a bear.,https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg
45,2013,Monsters University,107,78.0,7.4,65.0,743.6,268.5,475.1,0.0,0.0,2,Mike and Sulley attend Monsters University and learn to become top scarers.,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg
46,2015,The Good Dinosaur,100,76.0,6.7,66.0,332.2,123.1,209.1,0.0,1.0,2,A young dinosaur must find his way home after being separated from his family.,https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg
47,2015,Inside Out,102,98.0,8.8,93.0,677.1,340.5,336.6,1.0,1.0,2,"A young girl navigates her emotions with the help of personifications of Joy, Sadness, Fear, Anger, and Disgust.",https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg
48,2016,Kung Fu Panda 3,95,7.1,66.0,41.3,143.5,75.7,0.0,0.0,2,Po faces new challenges as he meets his long-lost father and takes on new enemies.,,https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg
49,2016,Finding Dory,97,100.0,8.4,94.0,1028.0,486.3,542.28,0.0,0.0,2,"Dory, the forgetful fish, embarks on a journey to find her long-lost parents.",https://m.media-amazon.com/images/M/MV5BYWVmYTcwZDYtYzNmNC00M2U2LWFjZWYtOWRlY2NiNjc5ZjdiXkEyXkFqcGdeQXVyNjY5Mjg5MjA@._V1_SX300.jpg
50,2017,Coco,100,8.4,81.0,49.0,807.5,209.7,597.8,2.0,2.0,2,A young boy discovers the history of his family and his love for music in the Land of the Dead.,https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_SX300.jpg
51,2018,The Incredibles 2,102,97.0,8.0,84.0,1243.0,608.6,634.2,0.0,1.0,2,The Incredibles face new challenges as they work to restore their reputation and stop a new villain.,
52,2019,Toy Story 4,98,7.7,84.0,121.0,434.0,639.4,1.0,2.0,2,"Woody, Buzz, and the rest of the toys go on a road trip with a new friend, Forky.",,https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_SX300.jpg
53,2020,Onward,88,7.4,61.0,39.1,61.6,61.6,80.4,0.0,1.0,2,Two elf brothers go on a quest to discover if there is still magic in the world.,https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg
54,2020,Soul,95,8.1,83.0,12.7,54.7,54.7,121.03,2.0,3.0,2,A middle school music teacher discovers the meaning of life after a near-death experience.,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_SX300.jpg
55,2022,Lightyear,100,77.0,6.1,60.0,226.4,118.3,226.43,0.0,1.0,2,"The story of Buzz Lightyear, the hero who inspired the toy, on his journey through space and time.", "https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg"
56,2024,Kung Fu Panda 4,94,72.0,6.3,54.0,520.78,188.62,332.16,0.0,0.0,2,Po must face new challenges as he becomes a kung fu master and protects his home., "https://m.media-amazon.com/images/M/MV5BZDY0YzI0OTctYjVhYy00MTVhLWE0NTgtYTRmYTBmOTE3YTViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg"
57,1994,The Shawshank Redemption,142,,9.3,80.0,28.34,,,,,0,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
58,1972,The Godfather,175,,9.2,100.0,134.97,,,,,0,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg"
59,2008,The Dark Knight,152,,9.0,84.0,534.86,,,,,0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
60,1974,The Godfather: Part II,202,,9.0,90.0,57.3,,,,,0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg"
61,1957,12 Angry Men,96,,9.0,96.0,4.36,,,,,0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
62,2003,The Lord of the Rings: The Return of the King,201,,8.9,94.0,377.85,,,,,0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
63,1994,Pulp Fiction,154,,8.9,94.0,107.93,,,,,0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg"
64,1993,Schindler's List,195,,8.9,94.0,96.9,,,,,0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
65,2010,Inception,148,,8.8,74.0,292.58,,,,,0,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
66,1999,Fight Club,139,,8.8,66.0,37.03,,,,,0,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
67,2001,The Lord of the Rings: The Fellowship of the Ring,178,,8.8,92.0,315.54,,,,,0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
68,1994,Forrest Gump,142,,8.8,82.0,330.25,,,,,0,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
69,1966,"Il buono, il brutto, il cattivo",161,,8.8,90.0,6.1,,,,,0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg"
70,2002,The Lord of the Rings: The Two Towers,179,,8.7,87.0,342.55,,,,,0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
71,1999,The Matrix,136,,8.7,73.0,171.48,,,,,0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
72,1990,Goodfellas,146,,8.7,90.0,46.84,,,,,0,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
73,1980,Star Wars: Episode V - The Empire Strikes Back,124,,8.7,82.0,290.48,,,,,0,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
74,1975,One Flew Over the Cuckoo's Nest,133,,8.7,83.0,112.0,,,,,0,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
